,status,diameter,area,radius,pixel_ratio,cataract,other,filename
0,0,0.8,0.64,0.90625,0.49979035639413,2521,2656,0001_crop.jpg
1,0,0.8064516129032258,0.6503642039542143,0.8666666666666667,0.4247588424437299,4919,11075,0002_crop.jpg
2,0,0.45901639344262296,0.21069604944907283,0.575,0.17556431386599786,2168,3672,0003_crop.jpg
3,0,0.8135593220338984,0.6618787704682562,0.65,0.3521416803953871,1258,4468,0005_crop.jpg
4,0,0.8507462686567164,0.7237692136333259,0.8958333333333334,0.47640117994100295,2625,3047,0006_crop.jpg
5,0,0.6461538461538462,0.41751479289940824,0.7,0.30532503457814664,5753,4069,0009_crop.jpg
6,0,0.7454545454545455,0.5557024793388429,0.7111111111111111,0.34596438044713906,1621,5366,0010_crop.jpg
7,0,0.9428571428571428,0.8889795918367347,0.5757575757575758,0.30924630924630925,1229,1567,0011_crop.jpg
8,0,0.7903225806451613,0.6246097814776275,0.6511627906976745,0.34331628926223523,2820,2620,0012_crop.jpg
9,0,1.0784313725490196,1.1630142252979625,1.0740740740740742,0.6683046683046683,3570,26328,0014_crop.jpg
10,0,0.7115384615384616,0.5062869822485208,0.7647058823529411,0.32558139534883723,1683,3886,0015_crop.jpg
11,0,0.6206896551724138,0.3852556480380499,0.5555555555555556,0.23120023591860808,3637,2698,0016_crop.jpg
12,0,0.9622641509433962,0.9259522961908152,0.9705882352941176,0.600896860986547,1204,2197,0018_crop.jpg
13,0,0.6590909090909091,0.434400826446281,0.6296296296296297,0.2378826530612245,3498,1529,0023_crop.jpg
14,0,0.8571428571428571,0.7346938775510204,0.7083333333333334,0.3446069469835466,1991,2052,0024_crop.jpg
15,0,0.7758620689655172,0.601961950059453,0.5272727272727272,0.2992357436801881,2198,2533,0026_crop.jpg
16,0,0.9074074074074074,0.8233882030178328,1.0,0.5604123711340206,4773,4147,0029_crop.jpg
17,0,0.7735849056603774,0.5984336062655748,0.875,0.4276348966212809,1612,1649,0032_crop.jpg
18,0,0.8541666666666666,0.7296006944444444,0.92,0.4418145956607495,2632,2374,0034_crop.jpg
19,0,0.6428571428571429,0.413265306122449,0.5555555555555556,0.2724202626641651,4425,3058,0035_crop.jpg
20,0,0.6964285714285714,0.4850127551020408,0.5714285714285714,0.2604871447902571,3545,3115,0036_crop.jpg
21,0,0.8679245283018868,0.7532929868280526,0.59375,0.2997506234413965,3173,10135,0037_crop.jpg
22,0,0.8,0.64,0.6785714285714286,0.3007226236798221,4524,8325,0038_crop.jpg
23,0,0.9056603773584906,0.8202207191171235,0.5555555555555556,0.29819694868238555,4591,7345,0039_crop.jpg
24,0,0.9148936170212766,0.8370303304662743,0.7142857142857143,0.36270368135184067,4233,7984,0040_crop.jpg
25,0,0.6984126984126984,0.4877802973041069,0.5094339622641509,0.4065448113207547,2786,2790,0041_crop.jpg
26,0,0.6376811594202898,0.40663726107960513,0.8723404255319149,0.30302158273381297,3382,4058,0043_crop.jpg
27,0,0.8103448275862069,0.6566587395957194,0.8863636363636364,0.4994392523364486,2437,2487,0046_crop.jpg
28,0,0.7692307692307693,0.591715976331361,0.71875,0.3775620280474649,1531,2441,0050_crop.jpg
29,0,0.9111111111111111,0.8301234567901234,0.6923076923076923,0.41615853658536583,1166,2277,0053_crop.jpg
30,0,0.8,0.64,0.6136363636363636,0.35923309788092833,2010,1849,0054_crop.jpg
31,0,0.9148936170212766,0.8370303304662743,0.9411764705882353,0.4742826204656199,3274,1975,0060_crop.jpg
32,0,0.875,0.765625,0.84,0.41974378296910325,1686,2325,0061_crop.jpg
33,0,0.7538461538461538,0.5682840236686391,0.5555555555555556,0.263653483992467,5764,10900,0062_crop.jpg
34,0,0.7755102040816326,0.6014160766347355,0.5882352941176471,0.28319030792529026,2919,2417,0063_crop.jpg
35,0,0.85,0.7225,0.8444444444444444,0.3763812154696133,2299,15211,0069_crop.jpg
36,0,0.8666666666666667,0.7511111111111111,0.7692307692307693,0.3988480921526278,1324,1606,0073_crop.jpg
37,0,0.9423076923076923,0.8879437869822485,0.7666666666666667,0.4368619022031166,1207,4566,0074_crop.jpg
38,0,0.8727272727272727,0.7616528925619834,0.9411764705882353,0.4367606915377616,2771,2547,0076_crop.jpg
39,0,0.9736842105263158,0.948060941828255,0.9285714285714286,0.528954802259887,1674,2328,0081_crop.jpg
40,0,0.647887323943662,0.41975798452687957,0.574468085106383,0.27332339791356186,2595,1963,0084_crop.jpg
41,0,0.6351351351351351,0.40339663988312635,0.475,0.19702479338842976,2323,14473,0085_crop.jpg
42,0,0.84,0.7056,0.7096774193548387,0.32946145723336856,2121,2678,0087_crop.jpg
43,0,0.8,0.64,0.75,0.3620236530880421,6344,3464,0094_crop.jpg
44,0,0.72,0.5184,0.7647058823529411,0.34994753410283314,7534,2033,0095_crop.jpg
45,0,0.6333333333333333,0.4011111111111111,0.43636363636363634,0.20387761284459255,4387,3124,0097_crop.jpg
46,0,0.6984126984126984,0.4877802973041069,0.6440677966101694,0.3225893096964813,6857,10218,0098_crop.jpg
47,0,0.7333333333333333,0.5377777777777778,0.5757575757575758,0.22656699252443932,2684,1831,0105_crop.jpg
48,0,0.6301369863013698,0.39707262150497274,0.7142857142857143,0.28397291196388263,6926,4188,0106_crop.jpg
49,0,0.8840579710144928,0.7815584961142618,0.6666666666666666,0.38828238719068414,4813,6977,0107_crop.jpg
50,0,0.9242424242424242,0.8542240587695132,1.0,0.5711906744379683,2149,5297,0109_crop.jpg
51,0,0.6666666666666666,0.4444444444444444,0.8275862068965517,0.3424657534246575,2080,3103,0112_crop.jpg
52,0,0.6309523809523809,0.3981009070294785,0.6265060240963856,0.31262488646684833,6737,4451,0115_crop.jpg
53,0,0.9591836734693877,0.9200333194502291,0.9,0.5271966527196653,1949,2465,0118_crop.jpg
